id,medium,category,tier,status,width,height,clip,timing,biomes,dead,usage_refs,note
assets/apple-touch-icon.png,file,ui_icon,P2,pending,180,180,,,menu,False,index.html;sw.js,PWA icon (generated)
assets/card-1.jpg,file,ui_panel,P2,pending,832,468,,,menu,False,src/ui.js;sw.js,Canva menu art
assets/card-2.jpg,file,ui_panel,P2,pending,832,468,,,menu,False,src/ui.js;sw.js,Canva menu art
assets/card-3.jpg,file,ui_panel,P2,pending,832,468,,,menu,False,src/ui.js;sw.js,Canva menu art
assets/card-4.jpg,file,ui_panel,P2,pending,832,468,,,menu,False,src/ui.js;sw.js,Canva menu art
assets/card-5.jpg,file,ui_panel,P2,pending,832,468,,,menu,False,src/ui.js;sw.js,Canva menu art
assets/card-6.jpg,file,ui_panel,P2,pending,832,468,,,menu,False,src/ui.js;sw.js,Canva menu art
assets/icon-192.png,file,ui_icon,P2,pending,192,192,,,menu,False,manifest.webmanifest;sw.js,PWA icon (generated)
assets/icon-512.png,file,ui_icon,P2,pending,512,512,,,menu,False,manifest.webmanifest;sw.js,PWA icon (generated)
assets/menu-bg.jpg,file,ui_panel,P2,pending,1600,900,,,menu,False,style.css;sw.js,Canva menu art
src/background.js::drawPalmSil,procedural,background_layer,P0,pending,,,PalmSil,"continuous (code-driven, no frames)",shared,False,src/background.js,
src/boss.js::drawGullKing,procedural,boss_anim,P0,pending,,,gullking,"continuous (code-driven, no frames)",ocean-drive,False,src/boss.js,
src/boss.js::drawRatKing,procedural,boss_anim,P1,pending,,,ratking,"continuous (code-driven, no frames)",brickell-ascent,False,src/boss.js,
src/boss.js::drawIguanodon,procedural,boss_anim,P1,pending,,,iguanodon,"continuous (code-driven, no frames)",wynwood-walls,False,src/boss.js,
src/boss.js::drawPinataBull,procedural,boss_anim,P1,pending,,,pinatabull,"continuous (code-driven, no frames)",little-havana,False,src/boss.js,
src/boss.js::drawKingCrab,procedural,boss_anim,P1,pending,,,kingcrab,"continuous (code-driven, no frames)",skyway-mile-zero,False,src/boss.js,
src/boss.js::drawSnapper,procedural,boss_anim,P1,pending,,,snapper,"continuous (code-driven, no frames)",river-of-grass,False,src/boss.js,
src/enemies.js::drawGull,procedural,enemy_anim,P0,integrated,,,gull,"continuous (code-driven, no frames)",ocean-drive,False,src/enemies.js,
src/enemies.js::drawRat,procedural,enemy_anim,P1,pending,,,rat,"continuous (code-driven, no frames)",brickell-ascent,False,src/enemies.js,
src/enemies.js::drawIguana,procedural,enemy_anim,P1,pending,,,iguana,"continuous (code-driven, no frames)",wynwood-walls,False,src/enemies.js,
src/enemies.js::drawImp,procedural,enemy_anim,P1,pending,,,imp,"continuous (code-driven, no frames)",little-havana,False,src/enemies.js,
src/enemies.js::drawCrab,procedural,enemy_anim,P1,pending,,,crab,"continuous (code-driven, no frames)",skyway-mile-zero,False,src/enemies.js,
src/enemies.js::drawSnake,procedural,enemy_anim,P1,pending,,,snake,"continuous (code-driven, no frames)",river-of-grass,False,src/enemies.js,
src/level.js::renderBuilding,procedural,prop_static,P2,integrated,,,Building,"continuous (code-driven, no frames)",shared,False,src/level.js,
src/level.js::drawBlock,procedural,tileset,P0,integrated,,,Block,"continuous (code-driven, no frames)",shared,False,src/level.js,
src/level.js::drawBackdrop,procedural,tileset,P0,pending,,,Backdrop,"continuous (code-driven, no frames)",shared,False,src/level.js,
src/level.js::drawSteel,procedural,prop_static,P2,pending,,,Steel,"continuous (code-driven, no frames)",shared,False,src/level.js,
src/level.js::drawShutterWall,procedural,prop_static,P2,pending,,,ShutterWall,"continuous (code-driven, no frames)",shared,False,src/level.js,
